date_time,Date,Time,Time / Activity,type,type_text,Activity time (h:m:s),Activity (minutes),startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
2024-08-15 02:51:53,2024-08-15,02:51,02:51 Walking,6,Walking,1:45:01,105.02,2024-08-15 02:51:53+0000,6301,1.5103786,0.29843733,7289.0,0.864,519.0
2024-08-14 14:45:47,2024-08-14,14:45,14:45 Core,50,Core,0:14:13,14.22,2024-08-14 14:45:47+0000,853,0.0,0.0,0.0,0.0,45.0
2024-08-14 13:35:01,2024-08-14,13:35,13:35 Walking,6,Walking,0:23:06,23.1,2024-08-14 13:35:01+0000,1386,2.1112628,0.5858806,1002.0,1.381,130.0
2024-08-14 12:41:11,2024-08-14,12:41,12:41 Running,1,Running,0:18:12,18.2,2024-08-14 12:41:11+0000,1092,1.0622528,0.23701403,2808.0,0.388,164.0
2024-08-14 12:31:43,2024-08-14,12:31,12:31 Walking,6,Walking,0:09:21,9.35,2024-08-14 12:31:43+0000,561,2.8011205,0.30817544,1003.0,0.559,57.0
2024-08-14 12:03:23,2024-08-14,12:03,12:03 Running,1,Running,0:28:07,28.12,2024-08-14 12:03:23+0000,1687,3.2012804,0.27228603,5015.0,0.336,261.0
2024-08-14 08:52:37,2024-08-14,08:52,08:52 Walking,6,Walking,0:36:04,36.07,2024-08-14 08:52:37+0000,2164,2.8674922,0.61464244,2585.0,0.836,194.0
2024-08-14 06:59:35,2024-08-14,06:59,06:59 Walking,6,Walking,0:25:34,25.57,2024-08-14 06:59:35+0000,1534,8.64152,0.53555876,2133.0,0.718,146.0
2024-08-14 02:47:50,2024-08-14,02:47,02:47 Walking,6,Walking,1:32:09,92.15,2024-08-14 02:47:50+0000,5529,0.0,0.54149383,6822.0,0.81,493.0
2024-08-13 13:17:08,2024-08-13,13:17,13:17 Cycling,10,Cycling,1:00:03,60.05,2024-08-13 13:17:08+0000,3603,0.0,0.0,0.0,0.0,466.0
2024-08-13 12:09:08,2024-08-13,12:09,12:09 Walking,6,Walking,0:33:23,33.38,2024-08-13 12:09:08+0000,2003,9.834169,0.49601626,2019.0,0.991,155.0
2024-08-13 02:50:56,2024-08-13,02:50,02:50 Walking,6,Walking,1:21:24,81.4,2024-08-13 02:50:56+0000,4884,0.0,0.50264937,6624.0,0.737,412.0
2024-08-12 15:38:51,2024-08-12,15:38,15:38 Core,50,Core,0:14:28,14.47,2024-08-12 15:38:51+0000,868,0.0,0.0,0.0,0.0,52.0
2024-08-12 13:11:31,2024-08-12,13:11,13:11 Swimming,14,Swimming,0:56:06,56.1,2024-08-12 13:11:31+0000,3366,2.7931113,0.9961433,1050.0,3.205,304.0
2024-08-12 12:33:14,2024-08-12,12:33,12:33 Walking,6,Walking,0:32:36,32.6,2024-08-12 12:33:14+0000,1956,0.0,0.6665025,1635.0,1.196,158.0
2024-08-12 08:17:46,2024-08-12,08:17,08:17 Walking,6,Walking,0:57:00,57.0,2024-08-12 08:17:46+0000,3420,0.0,0.4902863,4198.0,0.814,257.0
2024-08-12 03:21:40,2024-08-12,03:21,03:21 Walking,6,Walking,1:37:57,97.95,2024-08-12 03:21:40+0000,5877,1.7851384,0.4578831,7612.0,0.771,484.0
2024-08-11 12:30:12,2024-08-11,12:30,12:30 Walking,6,Walking,0:24:01,24.02,2024-08-11 12:30:12+0000,1441,8.865801,0.52993304,1304.0,1.104,139.0
2024-08-11 07:55:28,2024-08-11,07:55,07:55 Walking,6,Walking,1:21:08,81.13,2024-08-11 07:55:28+0000,4868,0.0,0.4459386,5839.0,0.833,484.0
2024-08-11 02:48:34,2024-08-11,02:48,02:48 Walking,6,Walking,1:27:41,87.68,2024-08-11 02:48:34+0000,5261,0.0,0.5342954,6823.0,0.771,459.0
2024-08-10 15:34:37,2024-08-10,15:34,15:34 Core,50,Core,0:14:18,14.3,2024-08-10 15:34:37+0000,858,0.0,0.0,0.0,0.0,52.0
2024-08-10 14:42:06,2024-08-10,14:42,14:42 Walking,6,Walking,0:44:58,44.97,2024-08-10 14:42:06+0000,2698,0.0,0.3059408,2645.0,1.019,182.0
2024-08-10 09:36:43,2024-08-10,09:36,09:36 Cycling,10,Cycling,1:15:10,75.17,2024-08-10 09:36:43+0000,4510,0.0,0.0,0.0,0.0,480.0
2024-08-10 07:43:47,2024-08-10,07:43,07:43 Walking,6,Walking,1:00:13,60.22,2024-08-10 07:43:47+0000,3613,4.0373096,0.37395266,4250.0,0.849,280.0
2024-08-10 03:11:45,2024-08-10,03:11,03:11 Walking,6,Walking,1:24:03,84.05,2024-08-10 03:11:45+0000,5043,0.0,0.46081772,6925.0,0.728,466.0
2024-08-09 15:15:41,2024-08-09,15:15,15:15 Core,50,Core,0:13:44,13.73,2024-08-09 15:15:41+0000,824,0.0,0.0,0.0,0.0,45.0
2024-08-09 12:44:38,2024-08-09,12:44,12:44 Swimming,14,Swimming,0:45:46,45.77,2024-08-09 12:44:38+0000,2746,2.4308035,1.224056,1300.0,2.112,350.0
2024-08-09 12:08:57,2024-08-09,12:08,12:08 Walking,6,Walking,0:33:13,33.22,2024-08-09 12:08:57+0000,1993,3.8728757,0.53068787,2215.0,0.899,147.0
2024-08-09 07:44:57,2024-08-09,07:44,07:44 Walking,6,Walking,0:55:24,55.4,2024-08-09 07:44:57+0000,3324,3.3844445,0.51135874,4002.0,0.83,303.0
2024-08-09 02:56:10,2024-08-09,02:56,02:56 Walking,6,Walking,1:25:00,85.0,2024-08-09 02:56:10+0000,5100,2.7421565,0.42170608,7320.0,0.696,435.0
2024-08-08 11:18:17,2024-08-08,11:18,11:18 Strength,52,Strength,1:16:34,76.57,2024-08-08 11:18:17+0000,4594,0.0,0.0,0.0,0.0,416.0
2024-08-08 07:03:37,2024-08-08,07:03,07:03 Walking,6,Walking,1:12:17,72.28,2024-08-08 07:03:37+0000,4337,0.0,0.5111629,5103.0,0.849,335.0
2024-08-08 03:24:32,2024-08-08,03:24,03:24 Walking,6,Walking,1:23:43,83.72,2024-08-08 03:24:32+0000,5023,0.0,0.5324058,6010.0,0.835,387.0
2024-08-07 14:47:21,2024-08-07,14:47,14:47 Cycling,10,Cycling,0:45:02,45.03,2024-08-07 14:47:21+0000,2702,0.0,0.0,0.0,0.0,269.0
2024-08-07 13:09:05,2024-08-07,13:09,13:09 Walking,6,Walking,1:14:33,74.55,2024-08-07 13:09:05+0000,4473,0.0,0.4145036,4473.0,0.999,325.0
2024-08-07 11:42:27,2024-08-07,11:42,11:42 Core,50,Core,0:15:21,15.35,2024-08-07 11:42:27+0000,921,0.0,0.0,0.0,0.0,50.0
2024-08-07 07:59:41,2024-08-07,07:59,07:59 Walking,6,Walking,0:56:15,56.25,2024-08-07 07:59:41+0000,3375,0.0,0.41529992,4001.0,0.843,264.0
2024-08-07 02:48:06,2024-08-07,02:48,02:48 Walking,6,Walking,1:31:07,91.12,2024-08-07 02:48:06+0000,5467,0.0,0.46695554,6913.0,0.79,517.0
2024-08-06 15:21:31,2024-08-06,15:21,15:21 Strength,52,Strength,0:50:43,50.72,2024-08-06 15:21:31+0000,3043,0.0,0.0,0.0,0.0,211.0
